x,z
261.2,32.9
253.8,39.7
245.8,45.4
237.1,50.2
227.7,53.9
218,56.5
208.2,58.1
198.3,58.6
188.3,58.5
178.2,58.4
168.2,58.4
158.3,58
148.4,56.4
138.6,54.3
128.9,51.8
119.3,49.1
109.8,46
100.3,42.7
91,39.1
81.8,35.3
72.5,31.4
63.3,27.5
54.1,23.6
44.9,19.7
35.6,15.9
26.4,12
17.2,8.1
8,4.1
-1.1,0.1
