ordinal,name,location,country,variant,lengthKm,commonTrackName,category,path,mapUrl,pitMapUrl,startFinishMapUrl,turnsMapUrl,cornersPerLap,pitRoadSpeedLimitMph,numberPitStalls,maxCars,nightLighting,rainEnabled,latitude,longitude,timeZone
21,Homestead Miami Speedway,"Homestead, Florida",USA,Road Course A,3.557,,road,tracks\homestead\roada,https://members-assets.iracing.com/public/track-maps/tracks_homestead/21-homestead-roada/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_homestead/21-homestead-roada/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_homestead/21-homestead-roada/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_homestead/21-homestead-roada/turns.svg,9,45,43,64,false,true,25.4517775,-80.4110895,America/New_York
22,Homestead Miami Speedway,"Homestead, Florida",USA,Road Course B,3.701,,road,tracks\homestead\roadb,https://members-assets.iracing.com/public/track-maps/tracks_homestead/22-homestead-roadb/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_homestead/22-homestead-roadb/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_homestead/22-homestead-roadb/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_homestead/22-homestead-roadb/turns.svg,10,45,43,64,false,true,25.4517775,-80.4110895,America/New_York
23,Irwindale Speedway,"Irwindale, California",USA,Outer,0.805,,oval,tracks\irwindale\outer,https://members-assets.iracing.com/public/track-maps/tracks_irwindale/23-irwindale-outer/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_irwindale/23-irwindale-outer/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_irwindale/23-irwindale-outer/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_irwindale/23-irwindale-outer/turns.svg,4,35,44,66,false,false,34.1104491,-117.9892554,America/Los_Angeles
24,Summit Point Raceway,"Summit Point, West Virginia",USA,Short,2.35,,road,tracks\summit\summit\short,https://members-assets.iracing.com/public/track-maps/tracks_summit/24-summit-summit-short/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_summit/24-summit-summit-short/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_summit/24-summit-summit-short/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_summit/24-summit-summit-short/turns.svg,7,45,29,58,false,true,39.2415229,-77.9778938,America/New_York
26,Daytona International Speedway,"Daytona Beach, Florida",USA,Road Course - 2008,5.729,daytona,road,tracks\daytona\road,https://members-assets.iracing.com/public/track-maps/tracks_daytona_2011/26-daytona-road/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_daytona_2011/26-daytona-road/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_daytona_2011/26-daytona-road/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_daytona_2011/26-daytona-road/turns.svg,11,55,43,64,false,true,29.185169,-81.072722,America/New_York
27,Daytona International Speedway,"Daytona Beach, Florida",USA,Oval - 2008,4.023,,oval,tracks\daytona\oval,https://members-assets.iracing.com/public/track-maps/tracks_daytona_2011/27-daytona-oval/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_daytona_2011/27-daytona-oval/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_daytona_2011/27-daytona-oval/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_daytona_2011/27-daytona-oval/turns.svg,4,55,43,64,false,false,29.185169,-81.072722,America/New_York
28,Daytona International Speedway,"Daytona Beach, Florida",USA,Moto - 2008,4.748,,road,tracks\daytona\bike,https://members-assets.iracing.com/public/track-maps/tracks_daytona_2011/28-daytona-bike/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_daytona_2011/28-daytona-bike/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_daytona_2011/28-daytona-bike/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_daytona_2011/28-daytona-bike/turns.svg,12,45,43,64,false,true,29.185169,-81.072722,America/New_York
29,Daytona International Speedway,"Daytona Beach, Florida",USA,Short - 2008,1.674,,road,tracks\daytona\short,https://members-assets.iracing.com/public/track-maps/tracks_daytona_2011/29-daytona-short/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_daytona_2011/29-daytona-short/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_daytona_2011/29-daytona-short/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_daytona_2011/29-daytona-short/turns.svg,5,35,23,34,false,true,29.185169,-81.072722,America/New_York
30,Irwindale Speedway,"Irwindale, California",USA,Outer - Inner,0.644,,oval,tracks\irwindale\outerinner,https://members-assets.iracing.com/public/track-maps/tracks_irwindale/30-irwindale-outerinner/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_irwindale/30-irwindale-outerinner/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_irwindale/30-irwindale-outerinner/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_irwindale/30-irwindale-outerinner/turns.svg,4,35,31,46,false,false,34.1104491,-117.9892554,America/Los_Angeles
33,Martinsville Speedway,"Ridgeway, Virginia",USA,,0.847,,oval,tracks\martinsville,https://members-assets.iracing.com/public/track-maps/tracks_martinsville/33-martinsville/active.svg,https://members-assets.iracing.com/public/track-maps/tracks_martinsville/33-martinsville/pitroad.svg,https://members-assets.iracing.com/public/track-maps/tracks_martinsville/33-martinsville/start-finish.svg,https://members-assets.iracing.com/public/track-maps/tracks_martinsville/33-martinsville/turns.svg,4,35,43,64,true,false,36.6340671,-79.8538533,America/New_York
