ordinal,name,path,category,imageUrl
58,[Legacy] NASCAR Xfinity Chevrolet Camaro - 2014,cars\stockcars2\nwcamaro2014,oval,https://images-static.iracing.com/img/cars/chevroletcamaroclassb/chevroletcamaroclassb-small.jpg
59,Ford GT GT3,cars\fordgt\gt3,sports_car,https://images-static.iracing.com/img/cars/fordgtgt3/fordgtgt3-small.jpg
60,[Legacy] V8 Supercar Holden VF Commodore - 2014,cars\v8supercars\holden2014,sports_car,https://images-static.iracing.com/img/cars/holdencommodorevfv8/holdencommodorevfv8-small.jpg
61,[Legacy] V8 Supercar Ford FG Falcon - 2014,cars\v8supercars\ford2014,sports_car,https://images-static.iracing.com/img/cars/fordfalconfg01v8/fordfalconfg01v8-small.jpg
64,Aston Martin DBR9 GT1,cars\astonmartin\dbr9,sports_car,https://images-static.iracing.com/img/cars/astonmartingt1/astonmartingt1-small.jpg
67,Global Mazda MX-5 Cup,cars\mx5\mx52016,sports_car,https://images-static.iracing.com/img/cars/globalmazdamx5cup/globalmazdamx5cup-small.jpg
69,[Legacy] NASCAR Xfinity Toyota Camry - 2015,cars\stockcars2\camry2015,oval,https://images-static.iracing.com/img/cars/nascarxfinitytoyotacamry/nascarxfinitytoyotacamry-small.jpg
70,Chevrolet Corvette C7 Daytona Prototype,cars\c7vettedp,sports_car,https://images-static.iracing.com/img/cars/chevroletcorvettec7daytonaprototype/chevroletcorvettec7daytonaprototype-small.jpg
71,McLaren MP4-30,cars\mclarenmp430,formula_car,https://images-static.iracing.com/img/cars/mclarenmp430/mclarenmp430-small.jpg
72,[Legacy] Mercedes-AMG GT3,cars\mercedesamggt3,sports_car,https://images-static.iracing.com/img/cars/mercedesamggt3/mercedesamggt3-small.jpg
73,[Legacy] Audi R8 LMS GT3,cars\audir8gt3,sports_car,https://images-static.iracing.com/img/cars/audir8lms/audir8lms-small.jpg
74,Formula Renault 2.0,cars\formularenault20,formula_car,https://images-static.iracing.com/img/cars/formularenault20/formularenault20-small.jpg
76,Audi 90 GTO,cars\audi90gto,sports_car,https://images-static.iracing.com/img/cars/audi90gto/audi90gto-small.jpg
77,Nissan GTP ZX-T,cars\nissangtpzxt,sports_car,https://images-static.iracing.com/img/cars/nissangtpzxt/nissangtpzxt-small.jpg
78,Dirt Late Model - Limited,cars\dirtlatemodel\350,dirt_oval,https://images-static.iracing.com/img/cars/dirtlatemodel/dirtlatemodel-small.jpg
79,Dirt Street Stock,cars\dirtstreetstock,dirt_oval,https://images-static.iracing.com/img/cars/dirtstreetstock/dirtstreetstock-small.jpg
80,Dirt Sprint Car - 305,cars\dirtsprint\winged\305,dirt_oval,https://images-static.iracing.com/img/cars/dirtsprintcar/dirtsprintcar-small.jpg
81,Ford Fiesta RS WRC,cars\fordfiestarswrc,dirt_road,https://images-static.iracing.com/img/cars/fordfiestarswrc/fordfiestarswrc-small.jpg
82,Dirt Legends Ford '34 Coupe,cars\legends\dirtford34c,dirt_oval,https://images-static.iracing.com/img/cars/carid_82/legendsford34coupe-small.jpg
83,Dirt Late Model - Pro,cars\dirtlatemodel\358,dirt_oval,https://images-static.iracing.com/img/cars/dirtlatemodel/dirtlatemodel-small.jpg
84,Dirt Late Model - Super,cars\dirtlatemodel\438,dirt_oval,https://images-static.iracing.com/img/cars/dirtlatemodel/dirtlatemodel-small.jpg
85,Dirt Sprint Car - 360,cars\dirtsprint\winged\360,dirt_oval,https://images-static.iracing.com/img/cars/dirtsprintcar/dirtsprintcar-small.jpg
86,Dirt Sprint Car - 410,cars\dirtsprint\winged\410,dirt_oval,https://images-static.iracing.com/img/cars/dirtsprintcar/dirtsprintcar-small.jpg
87,Dirt Sprint Car - 360 Non-Winged,cars\dirtsprint\nonwinged\360,dirt_oval,https://images-static.iracing.com/img/cars/dirtsprintcarnonwinged/dirtsprintcarnonwinged-small.jpg
88,[Legacy] Porsche 911 GT3 Cup (991),cars\porsche911cup,sports_car,https://images-static.iracing.com/img/cars/porsche911gt3cup/porsche911gt3cup-small.jpg
89,Dirt Sprint Car - 410 Non-Winged,cars\dirtsprint\nonwinged\410,dirt_oval,https://images-static.iracing.com/img/cars/dirtsprintcarnonwinged/dirtsprintcarnonwinged-small.jpg
