#options: 2748x1554 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=4600 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:34 out:34 type:B dur:4 cpbdur:4 q:27.61 aq:23.95 tex:33456 mv:5369 misc:2591 imb:80 pmb:683 smb:16093 d:- ref:0 ;
in:33 out:35 type:b dur:4 cpbdur:4 q:28.28 aq:24.70 tex:19540 mv:3560 misc:2076 imb:79 pmb:509 smb:16268 d:- ref:0 ;
in:35 out:36 type:b dur:4 cpbdur:4 q:26.94 aq:24.01 tex:34070 mv:4615 misc:2275 imb:121 pmb:561 smb:16174 d:- ref:0 ;
in:40 out:37 type:P dur:4 cpbdur:4 q:23.61 aq:12.99 tex:412230 mv:15695 misc:7291 imb:1927 pmb:3309 smb:11620 d:- ref:0 ;
in:38 out:38 type:B dur:4 cpbdur:4 q:24.94 aq:22.12 tex:71182 mv:8063 misc:2651 imb:112 pmb:845 smb:15899 d:- ref:0 ;
in:37 out:39 type:b dur:4 cpbdur:4 q:25.61 aq:23.24 tex:35529 mv:4234 misc:2333 imb:117 pmb:584 smb:16155 d:- ref:0 ;
in:39 out:40 type:b dur:4 cpbdur:4 q:24.28 aq:21.24 tex:42305 mv:4123 misc:2332 imb:96 pmb:634 smb:16126 d:- ref:0 ;
in:44 out:41 type:P dur:4 cpbdur:4 q:23.57 aq:15.24 tex:172242 mv:7696 misc:5110 imb:503 pmb:1423 smb:14930 d:- ref:0 ;
in:42 out:42 type:B dur:4 cpbdur:4 q:23.59 aq:19.79 tex:62849 mv:5895 misc:2696 imb:34 pmb:892 smb:15930 d:- ref:0 ;
in:41 out:43 type:b dur:4 cpbdur:4 q:23.60 aq:22.20 tex:52263 mv:5322 misc:2351 imb:115 pmb:607 smb:16134 d:- ref:0 ;
in:43 out:44 type:b dur:4 cpbdur:4 q:23.58 aq:23.55 tex:32969 mv:4264 misc:2247 imb:86 pmb:555 smb:16215 d:- ref:0 ;
in:48 out:45 type:P dur:4 cpbdur:4 q:24.32 aq:14.10 tex:200355 mv:11337 misc:7204 imb:1259 pmb:1765 smb:13832 d:- ref:0 ;
in:46 out:46 type:B dur:4 cpbdur:4 q:23.94 aq:19.58 tex:55549 mv:5361 misc:3042 imb:98 pmb:806 smb:15952 d:- ref:0 ;
in:45 out:47 type:b dur:4 cpbdur:4 q:23.76 aq:18.94 tex:41724 mv:4980 misc:2416 imb:78 pmb:691 smb:16087 d:- ref:0 ;
in:47 out:48 type:b dur:4 cpbdur:4 q:24.13 aq:20.65 tex:12873 mv:1461 misc:2178 imb:23 pmb:420 smb:16413 d:- ref:0 ;
in:52 out:49 type:P dur:4 cpbdur:4 q:24.64 aq:16.47 tex:148966 mv:7474 misc:4104 imb:532 pmb:1167 smb:15157 d:- ref:0 ;
in:50 out:50 type:B dur:4 cpbdur:4 q:24.48 aq:21.12 tex:49553 mv:5328 misc:2687 imb:106 pmb:707 smb:16043 d:- ref:0 ;
in:49 out:51 type:b dur:4 cpbdur:4 q:24.40 aq:20.02 tex:36629 mv:3831 misc:2244 imb:90 pmb:558 smb:16208 d:- ref:0 ;
in:51 out:52 type:b dur:4 cpbdur:4 q:24.56 aq:20.46 tex:35230 mv:4371 misc:2295 imb:96 pmb:590 smb:16170 d:- ref:0 ;
in:56 out:53 type:P dur:4 cpbdur:4 q:25.57 aq:17.04 tex:140407 mv:7662 misc:3147 imb:605 pmb:863 smb:15388 d:- ref:0 ;
in:54 out:54 type:B dur:4 cpbdur:4 q:25.11 aq:21.80 tex:47650 mv:5337 misc:2853 imb:47 pmb:801 smb:16008 d:- ref:0 ;
in:53 out:55 type:b dur:4 cpbdur:4 q:24.88 aq:22.92 tex:35580 mv:4653 misc:2455 imb:99 pmb:625 smb:16132 d:- ref:0 ;
in:55 out:56 type:b dur:4 cpbdur:4 q:25.34 aq:19.86 tex:39540 mv:5202 misc:2514 imb:85 pmb:634 smb:16137 d:- ref:0 ;
in:60 out:57 type:P dur:4 cpbdur:4 q:24.79 aq:14.83 tex:234771 mv:10701 misc:7288 imb:772 pmb:2188 smb:13896 d:- ref:0 ;
in:58 out:58 type:B dur:4 cpbdur:4 q:25.18 aq:22.53 tex:48803 mv:5342 misc:2903 imb:131 pmb:747 smb:15978 d:- ref:0 ;
in:57 out:59 type:b dur:4 cpbdur:4 q:25.38 aq:19.86 tex:37735 mv:3868 misc:2429 imb:85 pmb:685 smb:16086 d:- ref:0 ;
in:59 out:60 type:b dur:4 cpbdur:4 q:24.98 aq:19.61 tex:37887 mv:4129 misc:2504 imb:108 pmb:645 smb:16103 d:- ref:0 ;
in:64 out:61 type:P dur:4 cpbdur:4 q:24.08 aq:15.67 tex:173486 mv:8976 misc:5866 imb:575 pmb:1511 smb:14770 d:- ref:0 ;
in:62 out:62 type:B dur:4 cpbdur:4 q:24.43 aq:19.19 tex:59217 mv:7043 misc:2748 imb:128 pmb:899 smb:15829 d:- ref:0 ;
in:61 out:63 type:b dur:4 cpbdur:4 q:24.61 aq:18.70 tex:51216 mv:5948 misc:2556 imb:93 pmb:750 smb:16013 d:- ref:0 ;
in:63 out:64 type:b dur:4 cpbdur:4 q:24.26 aq:19.43 tex:38959 mv:4203 misc:2310 imb:83 pmb:647 smb:16126 d:- ref:0 ;
in:68 out:65 type:P dur:4 cpbdur:4 q:23.23 aq:14.39 tex:351058 mv:13111 misc:6415 imb:930 pmb:1845 smb:14081 d:- ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:23.66 aq:21.31 tex:98378 mv:8424 misc:3286 imb:91 pmb:1251 smb:15514 d:- ref:0 ;
