IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormSuspensionTravelFL,NormSuspensionTravelFR,NormSuspensionTravelRL,NormSuspensionTravelRR,TireSlipRatioFL,TireSlipRatioFR,TireSlipRatioRL,TireSlipRatioRR,WheelRotationSpeedFL,WheelRotationSpeedFR,WheelRotationSpeedRL,WheelRotationSpeedRR,WheelOnRumbleStripFL,WheelOnRumbleStripFR,WheelOnRumbleStripRL,WheelOnRumbleStripRR,WheelInPuddleDepthFL,WheelInPuddleDepthFR,WheelInPuddleDepthRL,WheelInPuddleDepthRR,SurfaceRumbleFL_2,SurfaceRumbleFR_2,SurfaceRumbleRL_2,SurfaceRumbleRR_2,TireSlipCombinedFL_2,TireTempFL,TireTempFR,TireTempRL,TireTempRR,Boost,Fuel,DistanceTraveled,BestLap,LastLap,CurrentLap,CurrentRaceTime,LapNumber,RacePosition,Accel,Brake,Clutch,HandBrake,Gear,Steer,NormDrivingLine,NormAIBrakeDiff,TireWearFL,TireWearFR,TireWearRL,TireWearRR,SurfaceRumbleFL,SurfaceRumbleFR,SurfaceRumbleRL,SurfaceRumbleRR,TireSlipAngleFL,TireSlipAngleFR,TireSlipAngleRL,TireSlipAngleRR,TireCombinedSlipFL,TireCombinedSlipFR,TireCombinedSlipRL,TireCombinedSlipRR,SuspensionTravelMetersFL,SuspensionTravelMetersFR,SuspensionTravelMetersRL,SuspensionTravelMetersRR,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TrackOrdinal
1,178199281,7999.9951171875,799.99951171875,6286.708984375,1.4136347770690918,-0.6319147944450378,2.981449604034424,-0.09619426727294922,0.08872514963150024,54.178253173828125,0.025634387508034706,0.03261144086718559,-0.014866705983877182,-2.981515407562256,-0.017109235748648643,-0.0016152499010786414,0.38573604822158813,0.3547981381416321,0.5668397545814514,0.5494261980056763,-0.0016302294097840786,-0.0020744246430695057,0.09028850495815277,0.0972442775964737,155.43902587890625,155.27371215820312,154.73045349121094,154.78355407714844,0,0,0,0,0,0,0,0,0,0,0,0,0,204.15879821777344,204.2952117919922,209.7044677734375,209.7044677734375,-11.672204971313477,0.2097986787557602,14008.263671875,141.1778564453125,141.1778564453125,0.0032073797192424536,295.05279541015625,2,11,255,0,0,0,5,0,30,0,0.3182511031627655,0.31169936060905457,0.31762778759002686,0.3156890273094177,0,0,0,0,0.02775599993765354,0.027203764766454697,0.050109390169382095,-0.0000014593590549338842,0.027803832665085793,0.02728274278342724,0.10326163470745087,0.0972442775964737,-0.00005350261926651001,-0.0020204633474349976,0.009754575788974762,0.008578874170780182,2860,6,833,1,12,-233.6439971923828,14.226487159729004,-762.4653930664062,54.17841339111328,431045.84375,654.81005859375,530
1,178199281,7999.9951171875,799.99951171875,6288.9765625,1.4036865234375,-0.7428626418113708,3.018913745880127,-0.09856796264648438,0.08717644214630127,54.21066665649414,0.025816021487116814,0.030888188630342484,-0.015156255103647709,-2.981165647506714,-0.01682324707508087,-0.0017896320205181837,0.38209429383277893,0.3521972596645355,0.5594146251678467,0.5420302152633667,-0.0015708189457654953,-0.0019253311911597848,0.09656009823083878,0.10737743973731995,155.52719116210938,155.37120056152344,155.0396728515625,155.14540100097656,0,0,0,0,0,0,0,0,0,0,0,0,0,204.1437530517578,204.27969360351562,209.68881225585938,209.68881225585938,-11.672204971313477,0.20979344844818115,14008.8662109375,141.1778564453125,141.1778564453125,0.014318491332232952,295.06390380859375,2,11,255,0,0,0,5,0,30,0,0.31825774908065796,0.3117057979106903,0.3176363408565521,0.3156972825527191,0,0,0,0,0.028400521725416183,0.027751995250582695,0.04950670897960663,0.000029859336791560054,0.02844392880797386,0.027818702161312103,0.10851159691810608,0.10737743973731995,-0.0002850368618965149,-0.002185821533203125,0.009253256022930145,0.008079521358013153,2860,6,833,1,12,-233.73902893066406,14.23767375946045,-763.0599365234375,54.210819244384766,431086.125,654.6612548828125,530
1,178199296,7999.9951171875,799.99951171875,6294.54443359375,1.3947681188583374,-0.9433396458625793,3.025813579559326,-0.10029029846191406,0.08039873838424683,54.234405517578125,0.025616226717829704,0.02985885553061962,-0.015760691836476326,-2.98091459274292,-0.01660860702395439,-0.0019213600317016244,0.38017112016677856,0.3492429256439209,0.5531013011932373,0.5359480381011963,-0.0016455973964184523,-0.001994438236579299,0.1070072129368782,0.11734703928232193,155.59237670898438,155.4402313232422,155.31167602539062,155.41244506835938,0,0,0,0,0,0,0,0,0,0,0,0,0,204.1322784423828,204.26783752441406,209.67686462402344,209.67686462402344,-11.672204971313477,0.20978951454162598,14009.3212890625,141.1778564453125,141.1778564453125,0.022651825100183487,295.0722351074219,2,11,255,0,0,0,5,0,30,0,0.31826266646385193,0.31171056628227234,0.3176426589488983,0.31570345163345337,0,0,0,0,0.02954544872045517,0.02860303409397602,0.04928212612867355,0.0001389298413414508,0.029591239988803864,0.028672484681010246,0.11781032383441925,0.1173471212387085,-0.00040730834007263184,-0.0023736506700515747,0.008827000856399536,0.007668875157833099,2860,6,833,1,12,-233.81044006347656,14.245903968811035,-763.5060424804688,54.234554290771484,431170.0625,654.364990234375,530
1,178199312,7999.9951171875,799.99951171875,6307.38671875,1.3719837665557861,-1.0458106994628906,3.025068521499634,-0.10149669647216797,0.07757741212844849,54.26785659790039,0.02257693000137806,0.0287945456802845,-0.016354162245988846,-2.980591058731079,-0.016339920461177826,-0.0021077427081763744,0.3867001533508301,0.35558202862739563,0.5466240644454956,0.5302150249481201,-0.0016592041356489062,-0.0019972166046500206,0.10823091864585876,0.1177099347114563,155.68846130371094,155.54342651367188,155.36781311035156,155.447265625,0,0,0,0,0,0,0,0,0,0,0,0,0,204.11705017089844,204.25196838378906,209.66116333007812,209.66116333007812,-11.672204971313477,0.20978426933288574,14009.92578125,141.1778564453125,141.1778564453125,0.03376293554902077,295.0833435058594,2,11,255,0,0,0,5,0,30,0,0.3182692527770996,0.3117169141769409,0.3176511526107788,0.3157118260860443,0,0,0,0,0.03143090382218361,0.03045106679201126,0.04926588013768196,0.00017078455130103976,0.03147466853260994,0.030516492202878,0.11891618371009827,0.11771005392074585,0.000007793307304382324,-0.001970626413822174,0.008389681577682495,0.007281802594661713,2860,6,833,1,12,-233.90586853027344,14.25669002532959,-764.1011962890625,54.26800537109375,431620.40625,653.819580078125,530
1,178199312,7999.9951171875,799.99951171875,6316.2724609375,1.4189255237579346,-1.1045652627944946,3.097226619720459,-0.10154056549072266,0.07674622535705566,54.29259490966797,0.017220256850123405,0.028407536447048187,-0.01595872826874256,-2.980353832244873,-0.0161807332187891,-0.0022457146551460028,0.39638203382492065,0.3664085865020752,0.5436764359474182,0.5270664691925049,-0.0016037715831771493,-0.0018381222616881132,0.1077471524477005,0.11689901351928711,155.7642822265625,155.62351989746094,155.42945861816406,155.5258331298828,0,0,0,0,0,0,0,0,0,0,0,0,0,204.1060333251953,204.24050903320312,209.64964294433594,209.64964294433594,-11.526447296142578,0.20978033542633057,14010.3798828125,141.1778564453125,141.1778564453125,0.04209626838564873,295.0916748046875,2,11,255,0,0,0,5,0,31,0,0.3182743489742279,0.3117218315601349,0.31765761971473694,0.3157182037830353,0,0,0,0,0.031512849032878876,0.03058391809463501,0.049398183822631836,0.000052424587920540944,0.03155363351106644,0.030639104545116425,0.11853113025426865,0.1168990209698677,0.0006233453750610352,-0.0012822970747947693,0.008190669119358063,0.007069222629070282,2860,6,833,1,12,-233.97760009765625,14.264676094055176,-764.5477905273438,54.29274368286133,431684.46875,652.9229736328125,530
1,178199328,7999.9951171875,799.99951171875,6321.40576171875,1.4207133054733276,-1.0175597667694092,3.036402940750122,-0.10053634643554688,0.0793834924697876,54.32782745361328,0.013416453264653683,0.02803201787173748,-0.014670955017209053,-2.980041027069092,-0.016020642593503,-0.0024207148235291243,0.4030827581882477,0.37459176778793335,0.5464229583740234,0.5304754376411438,-0.0016479881014674902,-0.0018439219566062093,0.10280975699424744,0.11247948557138443,155.8652801513672,155.726318359375,155.35745239257812,155.4345245361328,0,0,0,0,0,0,0,0,0,0,0,0,0,204.0915985107422,204.22560119628906,209.6343994140625,209.6343994140625,-11.526447296142578,0.20977510511875153,14010.9853515625,141.1778564453125,141.1778564453125,0.053207382559776306,295.102783203125,2,11,255,0,0,0,5,0,31,0,0.31828126311302185,0.3117285370826721,0.31766626238822937,0.31572669744491577,0,0,0,0,0.03161272406578064,0.030588237568736076,0.04983210191130638,-0.00026605461607687175,0.031655650585889816,0.0306437648832798,0.11425009369850159,0.1124797984957695,0.0010493621230125427,-0.0007620304822921753,0.0083761066198349,0.007299385964870453,2860,6,833,1,12,-234.07345581054688,14.275257110595703,-765.1435546875,54.32797622680664,431899.5,652.4625244140625,530
1,178199343,7999.9951171875,799.99951171875,6315.96728515625,1.5034558773040771,-0.9621878862380981,2.998720169067383,-0.09908676147460938,0.07776123285293579,54.36298370361328,0.011788547970354557,0.02756848931312561,-0.014018015936017036,-2.9797329902648926,-0.015878301113843918,-0.0025816222187131643,0.40722888708114624,0.37692615389823914,0.5446020364761353,0.5293301939964294,-0.0016811074456200004,-0.0019336811965331435,0.09659737348556519,0.10463526844978333,155.96788024902344,155.82923889160156,155.4565887451172,155.5055694580078,0,0,0,0,0,0,0,0,0,0,0,0,0,204.07701110839844,204.2104949951172,209.61956787109375,209.61956787109375,-11.526447296142578,0.2097698450088501,14011.591796875,141.1778564453125,141.1778564453125,0.06431849300861359,295.1138916015625,2,11,255,0,0,0,5,0,31,0,0.318288117647171,0.3117351830005646,0.31767505407333374,0.3157353401184082,0,0,0,0,0.03153740242123604,0.030186379328370094,0.048937857151031494,-0.0007147802389226854,0.03158217668533325,0.03024824894964695,0.10828649997711182,0.10463771224021912,0.0013129636645317078,-0.0006136149168014526,0.00825316458940506,0.007222063839435577,2860,6,833,1,12,-234.16961669921875,14.285758018493652,-765.7396240234375,54.363128662109375,431705.03125,652.497802734375,530
1,178199343,7999.9951171875,799.99951171875,6311.07470703125,1.5379059314727783,-0.9558244347572327,3.0484442710876465,-0.097930908203125,0.07683444023132324,54.38818359375,0.007143416441977024,0.02725009061396122,-0.015150001272559166,-2.9795053005218506,-0.015804439783096313,-0.0027073672972619534,0.4172452390193939,0.3861582577228546,0.544770359992981,0.5280331373214722,-0.0015552339609712362,-0.0018071793019771576,0.10506666451692581,0.11290811747312546,156.0452117919922,155.9093475341797,155.6508331298828,155.74697875976562,0,0,0,0,0,0,0,0,0,0,0,0,0,204.06613159179688,204.19908142089844,209.60801696777344,209.60801696777344,-11.526447296142578,0.20976592600345612,14012.0458984375,141.1778564453125,141.1778564453125,0.07265182584524155,295.1222229003906,2,11,255,0,0,0,5,0,31,0,0.3182932734489441,0.31174013018608093,0.3176814615726471,0.315741628408432,0,0,0,0,0.029314791783690453,0.0279775932431221,0.04900548979640007,-0.0009711216553114355,0.02935601770877838,0.028035899624228477,0.11593335121870041,0.11291229724884033,0.0019497796893119812,-0.000026658177375793457,0.008264526724815369,0.007134489715099335,2860,6,833,1,12,-234.2418975830078,14.293572425842285,-766.1868896484375,54.388328552246094,431655.125,653.0131225585938,530
1,178199359,7999.9951171875,799.99951171875,6310.3740234375,1.4811360836029053,-0.7813251614570618,3.1027445793151855,-0.09577083587646484,0.08372992277145386,54.42464828491211,0.000579258194193244,0.02688848227262497,-0.015057644806802273,-2.9792051315307617,-0.015769975259900093,-0.0028819702565670013,0.4355027377605438,0.4056057035923004,0.552623987197876,0.5356416702270508,-0.0015953561523929238,-0.001770764123648405,0.09812993556261063,0.10962808132171631,156.15382385253906,156.02096557617188,155.4766845703125,155.6041259765625,0,0,0,0,0,0,0,0,0,0,0,0,0,204.0519256591797,204.1842498779297,209.59300231933594,209.59300231933594,-11.92896842956543,0.20976068079471588,14012.65234375,141.1778564453125,141.1778564453125,0.08376293629407883,295.1333312988281,2,11,255,0,0,0,5,0,32,0,0.3183002769947052,0.31174689531326294,0.3176901340484619,0.3157500624656677,0,0,0,0,0.02893785573542118,0.027655761688947678,0.04930992051959038,-0.0014210498193278909,0.028981799259781837,0.027712393552064896,0.10982237011194229,0.1096372902393341,0.003110550343990326,0.0012097656726837158,0.00879477709531784,0.007648192346096039,2860,6,833,1,12,-234.33847045898438,14.304008483886719,-766.7836303710938,54.42479705810547,431611.96875,653.164306640625,530
1,178199375,7999.9951171875,799.99951171875,6310.03173828125,1.6031079292297363,-0.5286630988121033,3.129976749420166,-0.09341144561767578,0.09413444995880127,54.45266342163086,-0.0036469462793320417,0.026558246463537216,-0.013410129584372044,-2.97898268699646,-0.015788456425070763,-0.0030021537095308304,0.4499034583568573,0.42167285084724426,0.5616838932037354,0.5453622937202454,-0.001553877955302596,-0.0017131806816905737,0.08477048575878143,0.0933455377817154,156.23886108398438,156.10797119140625,155.3202362060547,155.32281494140625,0,0,0,0,0,0,0,0,0,0,0,0,0,204.04148864746094,204.1734161376953,209.58213806152344,209.58213806152344,-11.92896842956543,0.2097567468881607,14013.1083984375,141.1778564453125,141.1778564453125,0.09209626913070679,295.14166259765625,2,11,255,0,0,0,5,0,32,0,0.3183056116104126,0.3117520809173584,0.31769677996635437,0.315756618976593,0,0,0,0,0.02871066890656948,0.0275629423558712,0.049316100776195526,-0.0020016108173877,0.028752686455845833,0.02761613391339779,0.09807197749614716,0.09336699545383453,0.0040261149406433105,0.0022312775254249573,0.009406469762325287,0.008304491639137268,2860,6,833,1,12,-234.41111755371094,14.311923027038574,-767.2313842773438,54.452823638916016,431613.03125,653.142333984375,530
